time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
4:08.0,"{'player': 'A. Horford', 'action': 'Defensive rebound by'}",12-16,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:58.0,"{'player': 'J. Brown', 'action': 'misses 3-pt jump shot from 23 ft'}",12-16,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:55.0,"{'player': '', 'action': ''}",12-16,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:52.0,"{'player': '', 'action': ''}",12-19,"{'player': 'J. Green D. Jones', 'action': 'J. Green makes 3-pt jump shot from 23 ft (assist by D. Jones )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': '', 'action': 'Boston full timeout'}",12-19,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': 'J. Holiday J. Brown', 'action': 'J. Holiday enters the game for J. Brown'}",12-19,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': 'P. Pritchard A. Horford', 'action': 'P. Pritchard enters the game for A. Horford'}",12-19,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': 'J. Tatum D. White', 'action': 'J. Tatum enters the game for D. White'}",12-19,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': '', 'action': ''}",12-19,"{'player': 'K. Irving L. Dončić', 'action': 'K. Irving enters the game for L. Dončić'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:50.0,"{'player': '', 'action': ''}",12-19,"{'player': 'G. Williams D. Jones', 'action': 'G. Williams enters the game for D. Jones'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:29.0,"{'player': 'J. Holiday P. Pritchard', 'action': 'J. Holiday makes 3-pt jump shot from 23 ft (assist by P. Pritchard )'}",15-19,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
3:11.0,"{'player': '', 'action': ''}",15-21,"{'player': 'K. Irving', 'action': 'makes 2-pt jump shot from 10 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:57.0,"{'player': 'J. Tatum', 'action': 'makes 2-pt layup from 2 ft'}",17-21,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
2:40.0,"{'player': '', 'action': ''}",17-21,"{'player': 'K. Irving', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
