PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
47,2.44,36,84,120,1
45,2.29,29,106,135,1
42,1.07,17,122,139,1
46,2.3,35,111,146,1
49,3.41,6,106,112,1
34,-3.02,20,103,123,1
18,-10.12,9,106,115,1
46,1.48,6,108,114,1
20,-9.29,6,119,113,0
36,-2.38,9,113,122,1
53,4.36,14,125,111,0
26,-6.45,24,119,95,0
47,2.77,1,112,113,1
20,-8.29,9,93,84,0
46,1.1,4,110,106,0
58,7.36,14,113,127,1
18,-10.12,9,102,111,1
47,1.98,2,123,121,0
36,-2.38,10,136,126,0
26,-6.45,23,122,99,0
44,1.24,2,103,105,1
24,-6.57,9,96,87,0
47,2.44,17,95,112,1
46,2.3,8,104,112,1
29,-4.22,22,129,107,0
49,3.41,21,121,100,0
34,-3.02,8,118,110,0
46,1.48,14,127,113,0
47,2.44,26,123,97,0
49,3.08,5,125,130,1
20,-8.29,12,121,109,0
42,1.07,14,111,125,1
18,-10.12,23,99,122,1
46,1.48,18,100,118,1
49,2.51,5,109,104,0
66,10.75,50,86,136,1
47,1.98,3,105,108,1
26,-6.45,2,127,125,0
24,-6.57,8,113,121,1
52,4.46,7,126,133,1
46,2.3,23,93,116,1
54,5.23,4,102,98,0
49,3.08,16,100,116,1
29,-4.22,16,138,122,0
47,2.77,5,130,125,0
24,-6.57,3,110,113,1
29,-4.22,3,140,137,0
20,-8.29,37,128,91,0
47,1.98,7,116,109,0
48,2.75,14,115,129,1
49,2.51,14,110,96,0
26,-6.45,28,93,121,1
46,2.3,10,113,123,1
37,-1.77,17,129,112,0
52,4.46,22,105,127,1
58,7.36,22,107,129,1
54,5.23,20,110,130,1
29,-4.22,8,115,107,0
47,2.77,18,110,128,1
45,2.29,5,122,127,1
36,-2.38,2,123,121,0
49,2.51,7,97,104,1
44,1.24,4,110,114,1
24,-6.57,6,101,95,0
52,4.46,11,106,95,0
58,7.36,41,106,147,1
47,2.77,13,84,97,1
57,6.39,5,112,107,0
20,-8.29,15,127,112,0
42,1.07,5,118,123,1
20,-9.06,3,112,109,0
53,4.36,14,116,102,0
57,6.39,15,86,101,1
49,2.51,21,119,98,0
49,3.08,10,113,123,1
48,2.75,22,111,133,1
20,-9.29,9,114,105,0
36,-2.38,17,92,109,1
47,2.77,16,119,103,0
44,1.24,13,123,110,0
52,4.46,8,114,106,0
29,-4.22,19,109,128,1
20,-8.29,13,93,80,0
49,3.41,16,123,107,0
48,2.75,8,130,122,0
53,4.36,2,111,113,1
24,-6.57,25,111,86,0
45,2.29,11,121,110,0
47,1.98,2,119,121,1
46,1.48,27,81,108,1
20,-9.29,11,123,112,0
36,-2.38,27,97,124,1
66,10.75,18,99,117,1
53,4.36,23,115,92,0
37,-1.77,10,105,95,0
47,2.44,38,85,123,1
57,6.39,9,105,114,1
58,7.36,17,95,112,1
20,-8.29,10,106,96,0
48,2.75,9,114,123,1
26,-6.45,11,136,125,0
37,-1.77,9,123,132,1
57,6.39,9,101,110,1
54,5.23,21,96,117,1
49,3.41,4,116,112,0
18,-10.12,12,111,99,0
46,1.48,8,107,115,1
34,-3.02,27,97,124,1
53,4.36,11,110,99,0
26,-5.8,14,118,132,1
49,3.08,5,105,110,1
54,5.23,6,97,103,1
42,1.07,3,131,134,1
20,-9.06,10,110,100,0
49,2.51,7,114,121,1
66,10.75,28,110,138,1
26,-6.45,15,120,105,0
24,-6.57,30,122,92,0
57,6.39,4,124,120,0
52,4.46,27,102,129,1
37,-1.77,16,113,97,0
49,3.41,25,115,140,1
34,-3.02,12,102,114,1
46,1.1,6,120,126,1
24,-6.57,7,107,100,0
42,1.07,10,124,114,0
49,3.08,9,118,109,0
46,2.3,4,120,116,0
66,10.75,52,88,140,1
57,6.39,1,89,88,0
46,1.48,22,91,113,1
26,-6.45,5,106,111,1
47,1.98,9,107,98,0
26,-5.8,12,105,117,1
49,3.08,8,118,110,0
34,-3.02,4,106,102,0
47,2.44,7,106,113,1
57,6.39,5,114,119,1
29,-4.22,12,115,127,1
45,2.29,4,113,109,0
42,1.07,12,104,116,1
18,-10.12,12,101,89,0
34,-3.02,5,107,112,1
47,1.98,1,104,105,1
46,1.1,8,110,118,1
53,4.36,16,116,100,0
26,-6.45,41,139,98,0
44,1.24,13,101,114,1
46,2.3,17,137,120,0
54,5.23,10,117,107,0
20,-9.29,10,119,109,0
36,-2.38,11,101,112,1
44,1.24,6,122,116,0
49,2.51,6,115,109,0
29,-4.22,2,119,117,0
47,2.77,35,90,125,1
20,-8.29,8,128,120,0
42,1.07,10,130,120,0
20,-9.06,6,112,118,1
48,2.75,2,113,111,0
46,2.3,6,108,114,1
49,3.08,7,113,120,1
54,5.23,6,109,115,1
47,2.77,3,125,122,0
45,2.29,2,129,131,1
49,2.51,8,103,95,0
20,-9.29,12,100,112,1
47,1.98,9,104,113,1
53,4.36,24,74,98,1
24,-6.57,7,99,92,0
58,7.36,7,100,107,1
42,1.07,1,122,123,1
20,-8.29,16,123,107,0
49,3.41,10,102,112,1
18,-10.12,11,99,110,1
20,-9.06,18,142,124,0
47,2.77,13,126,113,0
49,3.08,10,117,107,0
54,5.23,21,121,142,1
20,-8.29,10,118,128,1
49,3.41,7,124,117,0
36,-2.38,13,116,103,0
46,1.1,2,110,108,0
46,1.48,14,111,97,0
45,2.29,8,112,104,0
47,1.98,19,120,101,0
53,4.36,6,79,73,0
58,7.36,31,93,124,1
42,1.07,11,109,120,1
20,-9.06,17,97,114,1
