Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Thu, Nov 16, 2023",Golden State Warriors,Oklahoma City Thunder,109,128,Oklahoma City Thunder,Golden State Warriors,19
"Fri, Nov 17, 2023",Charlotte Hornets,Milwaukee Bucks,99,130,Milwaukee Bucks,Charlotte Hornets,31
"Fri, Nov 17, 2023",Washington Wizards,New York Knicks,99,120,New York Knicks,Washington Wizards,21
"Fri, Nov 17, 2023",Atlanta Hawks,Philadelphia 76ers,116,126,Philadelphia 76ers,Atlanta Hawks,10
"Fri, Nov 17, 2023",Cleveland Cavaliers,Detroit Pistons,108,100,Cleveland Cavaliers,Detroit Pistons,8
"Fri, Nov 17, 2023",San Antonio Spurs,Sacramento Kings,120,129,Sacramento Kings,San Antonio Spurs,9
"Fri, Nov 17, 2023",Toronto Raptors,Boston Celtics,105,108,Boston Celtics,Toronto Raptors,3
"Fri, Nov 17, 2023",Chicago Bulls,Orlando Magic,97,103,Orlando Magic,Chicago Bulls,6
"Fri, Nov 17, 2023",New Orleans Pelicans,Denver Nuggets,115,110,New Orleans Pelicans,Denver Nuggets,5
"Fri, Nov 17, 2023",Portland Trail Blazers,Los Angeles Lakers,95,107,Los Angeles Lakers,Portland Trail Blazers,12
"Fri, Nov 17, 2023",Utah Jazz,Phoenix Suns,128,131,Phoenix Suns,Utah Jazz,3
"Fri, Nov 17, 2023",Los Angeles Clippers,Houston Rockets,106,100,Los Angeles Clippers,Houston Rockets,6
"Sat, Nov 18, 2023",Charlotte Hornets,New York Knicks,108,122,New York Knicks,Charlotte Hornets,14
"Sat, Nov 18, 2023",New Orleans Pelicans,Minnesota Timberwolves,120,121,Minnesota Timberwolves,New Orleans Pelicans,1
"Sat, Nov 18, 2023",Chicago Bulls,Miami Heat,102,97,Chicago Bulls,Miami Heat,5
"Sat, Nov 18, 2023",Milwaukee Bucks,Dallas Mavericks,132,125,Milwaukee Bucks,Dallas Mavericks,7
"Sat, Nov 18, 2023",San Antonio Spurs,Memphis Grizzlies,108,120,Memphis Grizzlies,San Antonio Spurs,12
"Sat, Nov 18, 2023",Golden State Warriors,Oklahoma City Thunder,123,130,Oklahoma City Thunder,Golden State Warriors,7
"Sun, Nov 19, 2023",Brooklyn Nets,Philadelphia 76ers,99,121,Philadelphia 76ers,Brooklyn Nets,22
"Sun, Nov 19, 2023",Toronto Raptors,Detroit Pistons,142,113,Toronto Raptors,Detroit Pistons,29
"Sun, Nov 19, 2023",Indiana Pacers,Orlando Magic,116,128,Orlando Magic,Indiana Pacers,12
