game_id,home_team,away_team,home_win,point_differential,home_ORtg,home_DRtg,home_NRtg,home_Off_eFG%,home_Off_TOV%,home_Def_DRB%,home_clutch_PTS,home_clutch_FG%,home_clutch_REB,home_clutch_AST,home_clutch_TOV,away_ORtg,away_DRtg,away_NRtg,away_Off_eFG%,away_Off_TOV%,away_Def_DRB%,away_clutch_PTS,away_clutch_FG%,away_clutch_REB,away_clutch_AST,away_clutch_TOV
42,Washington Wizards,Boston Celtics,0,19,110.5,119.6,-9.1,0.538,12.2,72.5,5.5,35.4,2.8,1.0,0.9,123.2,111.6,11.6,0.578,10.8,76.3,9.5,44.8,3.7,1.5,0.8
43,Charlotte Hornets,Brooklyn Nets,0,12,109.3,119.8,-10.5,0.529,12.6,74.5,8.1,47.2,2.9,1.5,0.9,113.2,116.1,-2.9,0.531,11.8,76.0,10.8,43.8,4.1,1.8,1.0
44,Toronto Raptors,Portland Trail Blazers,0,8,112.3,118.8,-6.5,0.535,12.4,73.9,8.2,45.1,3.7,1.6,1.0,108.3,117.5,-9.2,0.503,13.4,74.0,9.1,45.7,4.0,1.8,1.6
45,Atlanta Hawks,Minnesota Timberwolves,1,14,117.2,119.4,-2.2,0.539,11.6,75.2,8.0,38.3,3.3,0.9,0.8,115.6,109.0,6.6,0.559,13.0,76.9,8.5,42.7,3.3,1.6,1.1
46,Memphis Grizzlies,Dallas Mavericks,0,15,107.2,114.3,-7.1,0.509,13.4,74.8,7.2,40.1,3.2,1.0,1.2,117.6,115.4,2.2,0.562,11.2,75.2,9.4,47.5,3.0,1.8,0.5
47,Milwaukee Bucks,Miami Heat,1,8,118.4,115.8,2.6,0.568,11.5,77.2,9.9,44.1,3.2,1.8,0.9,114.0,112.2,1.8,0.538,11.7,78.1,7.1,36.3,2.9,1.0,0.8
48,New Orleans Pelicans,Golden State Warriors,0,28,117.4,112.9,4.5,0.558,11.8,76.9,7.0,46.2,2.6,1.5,1.1,117.8,115.2,2.6,0.557,12.5,76.1,8.4,44.2,2.6,1.8,0.7
49,Oklahoma City Thunder,Detroit Pistons,1,12,119.5,112.1,7.4,0.573,11.4,73.8,9.3,52.5,2.9,1.6,0.9,109.7,118.8,-9.1,0.526,13.5,77.3,6.0,35.7,2.9,0.9,0.9
50,Denver Nuggets,Utah Jazz,1,8,118.5,113.0,5.5,0.562,11.5,75.6,9.1,53.0,3.1,1.8,0.9,115.5,120.4,-4.9,0.539,13.6,75.2,9.4,45.1,3.9,1.9,1.3
51,Los Angeles Lakers,Orlando Magic,1,3,115.9,115.3,0.6,0.566,12.5,76.2,10.8,46.4,4.0,1.8,1.0,113.4,111.3,2.1,0.541,13.3,78.1,7.9,38.9,3.8,1.3,1.0
52,Cleveland Cavaliers,New York Knicks,0,18,115.2,112.7,2.5,0.557,12.4,76.9,7.7,43.2,3.1,1.5,1.1,118.2,113.4,4.8,0.54,11.9,76.1,8.6,44.0,3.5,1.3,0.6
53,Phoenix Suns,San Antonio Spurs,0,1,117.6,114.6,3.0,0.565,13.4,75.6,7.5,40.7,3.0,1.5,0.8,110.0,116.4,-6.4,0.532,13.2,76.4,7.9,40.6,3.5,1.7,1.2
54,Los Angeles Clippers,Orlando Magic,1,16,118.8,115.4,3.4,0.561,12.0,74.8,7.9,44.1,2.7,1.4,0.8,113.4,111.3,2.1,0.541,13.3,78.1,7.9,38.9,3.8,1.3,1.0
55,Detroit Pistons,Portland Trail Blazers,0,9,109.7,118.8,-9.1,0.526,13.5,77.3,6.0,35.7,2.9,0.9,0.9,108.3,117.5,-9.2,0.503,13.4,74.0,9.1,45.7,4.0,1.8,1.6
56,Toronto Raptors,Milwaukee Bucks,1,19,112.3,118.8,-6.5,0.535,12.4,73.9,8.2,45.1,3.7,1.6,1.0,118.4,115.8,2.6,0.568,11.5,77.2,9.9,44.1,3.2,1.8,0.9
57,Atlanta Hawks,Washington Wizards,1,9,117.2,119.4,-2.2,0.539,11.6,75.2,8.0,38.3,3.3,0.9,0.8,110.5,119.6,-9.1,0.538,12.2,72.5,5.5,35.4,2.8,1.0,0.9
58,Boston Celtics,Indiana Pacers,1,51,123.2,111.6,11.6,0.578,10.8,76.3,9.5,44.8,3.7,1.5,0.8,121.0,118.0,3.0,0.578,11.3,74.1,8.8,48.3,2.7,1.5,0.9
59,Miami Heat,Brooklyn Nets,0,4,114.0,112.2,1.8,0.538,11.7,78.1,7.1,36.3,2.9,1.0,0.8,113.2,116.1,-2.9,0.531,11.8,76.0,10.8,43.8,4.1,1.8,1.0
60,New York Knicks,Cleveland Cavaliers,0,6,118.2,113.4,4.8,0.54,11.9,76.1,8.6,44.0,3.5,1.3,0.6,115.2,112.7,2.5,0.557,12.4,76.9,7.7,43.2,3.1,1.5,1.1
61,Oklahoma City Thunder,New Orleans Pelicans,0,4,119.5,112.1,7.4,0.573,11.4,73.8,9.3,52.5,2.9,1.6,0.9,117.4,112.9,4.5,0.558,11.8,76.9,7.0,46.2,2.6,1.5,1.1
62,Houston Rockets,Charlotte Hornets,1,9,114.5,113.4,1.1,0.529,11.2,76.0,8.4,41.8,3.0,1.7,0.6,109.3,119.8,-10.5,0.529,12.6,74.5,8.1,47.2,2.9,1.5,0.9
63,Minnesota Timberwolves,Denver Nuggets,1,21,115.6,109.0,6.6,0.559,13.0,76.9,8.5,42.7,3.3,1.6,1.1,118.5,113.0,5.5,0.562,11.5,75.6,9.1,53.0,3.1,1.8,0.9
64,Dallas Mavericks,Chicago Bulls,1,9,117.6,115.4,2.2,0.562,11.2,75.2,9.4,47.5,3.0,1.8,0.5,114.9,116.3,-1.4,0.534,11.0,76.4,11.9,48.4,4.2,2.3,1.1
65,Utah Jazz,Memphis Grizzlies,1,24,115.5,120.4,-4.9,0.539,13.6,75.2,9.4,45.1,3.9,1.9,1.3,107.2,114.3,-7.1,0.509,13.4,74.8,7.2,40.1,3.2,1.0,1.2
66,Golden State Warriors,Sacramento Kings,1,1,117.8,115.2,2.6,0.557,12.5,76.1,8.4,44.2,2.6,1.8,0.7,116.9,115.2,1.7,0.556,11.6,78.4,10.0,44.9,4.1,1.7,1.2
67,Los Angeles Lakers,Los Angeles Clippers,1,5,115.9,115.3,0.6,0.566,12.5,76.2,10.8,46.4,4.0,1.8,1.0,118.8,115.4,3.4,0.561,12.0,74.8,7.9,44.1,2.7,1.4,0.8
68,Philadelphia 76ers,Toronto Raptors,1,15,116.9,113.8,3.1,0.532,10.7,74.3,9.3,44.7,3.3,1.7,0.9,112.3,118.8,-6.5,0.535,12.4,73.9,8.2,45.1,3.7,1.6,1.0
69,New Orleans Pelicans,Detroit Pistons,1,9,117.4,112.9,4.5,0.558,11.8,76.9,7.0,46.2,2.6,1.5,1.1,109.7,118.8,-9.1,0.526,13.5,77.3,6.0,35.7,2.9,0.9,0.9
70,Utah Jazz,Orlando Magic,0,2,115.5,120.4,-4.9,0.539,13.6,75.2,9.4,45.1,3.9,1.9,1.3,113.4,111.3,2.1,0.541,13.3,78.1,7.9,38.9,3.8,1.3,1.0
71,Phoenix Suns,San Antonio Spurs,0,11,117.6,114.6,3.0,0.565,13.4,75.6,7.5,40.7,3.0,1.5,0.8,110.0,116.4,-6.4,0.532,13.2,76.4,7.9,40.6,3.5,1.7,1.2
72,Indiana Pacers,Cleveland Cavaliers,1,5,121.0,118.0,3.0,0.578,11.3,74.1,8.8,48.3,2.7,1.5,0.9,115.2,112.7,2.5,0.557,12.4,76.9,7.7,43.2,3.1,1.5,1.1
73,Milwaukee Bucks,New York Knicks,1,5,118.4,115.8,2.6,0.568,11.5,77.2,9.9,44.1,3.2,1.8,0.9,118.2,113.4,4.8,0.54,11.9,76.1,8.6,44.0,3.5,1.3,0.6
74,Chicago Bulls,Brooklyn Nets,0,2,114.9,116.3,-1.4,0.534,11.0,76.4,11.9,48.4,4.2,2.3,1.1,113.2,116.1,-2.9,0.531,11.8,76.0,10.8,43.8,4.1,1.8,1.0
75,Miami Heat,Washington Wizards,1,7,114.0,112.2,1.8,0.538,11.7,78.1,7.1,36.3,2.9,1.0,0.8,110.5,119.6,-9.1,0.538,12.2,72.5,5.5,35.4,2.8,1.0,0.9
76,Oklahoma City Thunder,Golden State Warriors,0,2,119.5,112.1,7.4,0.573,11.4,73.8,9.3,52.5,2.9,1.6,0.9,117.8,115.2,2.6,0.557,12.5,76.1,8.4,44.2,2.6,1.8,0.7
77,Denver Nuggets,Dallas Mavericks,1,11,118.5,113.0,5.5,0.562,11.5,75.6,9.1,53.0,3.1,1.8,0.9,117.6,115.4,2.2,0.562,11.2,75.2,9.4,47.5,3.0,1.8,0.5
