Home Team,Away Team,Winner,Point Differential
Boston Celtics,Golden State Warriors,Boston Celtics,52
Minnesota Timberwolves,Los Angeles Clippers,Los Angeles Clippers,1
Orlando Magic,Detroit Pistons,Orlando Magic,22
Toronto Raptors,Charlotte Hornets,Toronto Raptors,5
Cleveland Cavaliers,New York Knicks,New York Knicks,9
San Antonio Spurs,Indiana Pacers,San Antonio Spurs,12
Phoenix Suns,Oklahoma City Thunder,Oklahoma City Thunder,8
Brooklyn Nets,Memphis Grizzlies,Memphis Grizzlies,4
Milwaukee Bucks,Los Angeles Clippers,Milwaukee Bucks,7
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,5
Utah Jazz,Washington Wizards,Utah Jazz,12
Sacramento Kings,Chicago Bulls,Chicago Bulls,4
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,12
Charlotte Hornets,Orlando Magic,Orlando Magic,12
Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets,5
Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,1
Miami Heat,Detroit Pistons,Miami Heat,8
New York Knicks,Atlanta Hawks,Atlanta Hawks,16
Toronto Raptors,New Orleans Pelicans,New Orleans Pelicans,41
Houston Rockets,San Antonio Spurs,Houston Rockets,13
Dallas Mavericks,Indiana Pacers,Indiana Pacers,17
Denver Nuggets,Phoenix Suns,Phoenix Suns,10
Washington Wizards,Orlando Magic,Orlando Magic,10
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,11
Houston Rockets,Los Angeles Clippers,Los Angeles Clippers,6
Philadelphia 76ers,Memphis Grizzlies,Memphis Grizzlies,6
Utah Jazz,Chicago Bulls,Chicago Bulls,2
Golden State Warriors,Milwaukee Bucks,Golden State Warriors,35
Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder,8
Los Angeles Lakers,Sacramento Kings,Sacramento Kings,10
Detroit Pistons,Brooklyn Nets,Detroit Pistons,6
Indiana Pacers,Minnesota Timberwolves,Minnesota Timberwolves,2
Dallas Mavericks,Miami Heat,Dallas Mavericks,6
Phoenix Suns,Toronto Raptors,Phoenix Suns,7
Denver Nuggets,Boston Celtics,Denver Nuggets,6
Golden State Warriors,Chicago Bulls,Chicago Bulls,3
Sacramento Kings,San Antonio Spurs,Sacramento Kings,2
Philadelphia 76ers,New Orleans Pelicans,New Orleans Pelicans,8
Washington Wizards,Charlotte Hornets,Washington Wizards,12
Cleveland Cavaliers,Minnesota Timberwolves,Cleveland Cavaliers,9
New York Knicks,Orlando Magic,New York Knicks,24
Memphis Grizzlies,Atlanta Hawks,Atlanta Hawks,7
Oklahoma City Thunder,Miami Heat,Oklahoma City Thunder,7
Los Angeles Lakers,Milwaukee Bucks,Los Angeles Lakers,1
Portland Trail Blazers,Houston Rockets,Houston Rockets,16
Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers,10
Charlotte Hornets,Brooklyn Nets,Charlotte Hornets,11
Detroit Pistons,Dallas Mavericks,Dallas Mavericks,18
Golden State Warriors,San Antonio Spurs,San Antonio Spurs,13
Phoenix Suns,Boston Celtics,Boston Celtics,10
Denver Nuggets,Utah Jazz,Denver Nuggets,21
Portland Trail Blazers,Toronto Raptors,Portland Trail Blazers,10
Los Angeles Clippers,Milwaukee Bucks,Milwaukee Bucks,7
Atlanta Hawks,New Orleans Pelicans,New Orleans Pelicans,13
Miami Heat,Washington Wizards,Washington Wizards,2
Orlando Magic,Indiana Pacers,Indiana Pacers,14
Sacramento Kings,Houston Rockets,Houston Rockets,8
Cleveland Cavaliers,Brooklyn Nets,Brooklyn Nets,19
New York Knicks,Philadelphia 76ers,Philadelphia 76ers,6
Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,31
Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,11
Detroit Pistons,Charlotte Hornets,Detroit Pistons,17
Cleveland Cavaliers,Phoenix Suns,Phoenix Suns,6
Chicago Bulls,Dallas Mavericks,Dallas Mavericks,35
San Antonio Spurs,Golden State Warriors,Golden State Warriors,10
Denver Nuggets,Toronto Raptors,Denver Nuggets,6
Portland Trail Blazers,Boston Celtics,Boston Celtics,22
New York Knicks,Philadelphia 76ers,New York Knicks,27
Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,12
Oklahoma City Thunder,Indiana Pacers,Indiana Pacers,10
San Antonio Spurs,Houston Rockets,Houston Rockets,2
Utah Jazz,Boston Celtics,Boston Celtics,16
Los Angeles Clippers,Minnesota Timberwolves,Minnesota Timberwolves,18
Sacramento Kings,Milwaukee Bucks,Sacramento Kings,35
Detroit Pistons,Toronto Raptors,Detroit Pistons,9
Orlando Magic,Brooklyn Nets,Orlando Magic,8
Indiana Pacers,Chicago Bulls,Chicago Bulls,3
Miami Heat,Denver Nuggets,Denver Nuggets,12
Memphis Grizzlies,Charlotte Hornets,Charlotte Hornets,12
New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers,21
Dallas Mavericks,Golden State Warriors,Dallas Mavericks,10
Portland Trail Blazers,Atlanta Hawks,Portland Trail Blazers,4
Sacramento Kings,Los Angeles Lakers,Sacramento Kings,13
Boston Celtics,Phoenix Suns,Boston Celtics,15
Chicago Bulls,Los Angeles Clippers,Los Angeles Clippers,15
Houston Rockets,Washington Wizards,Houston Rockets,16
Milwaukee Bucks,Philadelphia 76ers,Milwaukee Bucks,9
Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,7
Portland Trail Blazers,New York Knicks,New York Knicks,12
Charlotte Hornets,Phoenix Suns,Phoenix Suns,11
Detroit Pistons,Miami Heat,Miami Heat,13
Toronto Raptors,Orlando Magic,Orlando Magic,10
New Orleans Pelicans,Los Angeles Clippers,New Orleans Pelicans,8
San Antonio Spurs,Denver Nuggets,Denver Nuggets,11
Utah Jazz,Atlanta Hawks,Utah Jazz,2
Houston Rockets,Cleveland Cavaliers,Houston Rockets,14
Indiana Pacers,Brooklyn Nets,Indiana Pacers,21
New Orleans Pelicans,Portland Trail Blazers,New Orleans Pelicans,19
Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,11
Chicago Bulls,Washington Wizards,Chicago Bulls,29
Memphis Grizzlies,Oklahoma City Thunder,Oklahoma City Thunder,6
Los Angeles Lakers,Golden State Warriors,Golden State Warriors,7
Utah Jazz,Minnesota Timberwolves,Minnesota Timberwolves,19
Sacramento Kings,New York Knicks,New York Knicks,7
Milwaukee Bucks,Phoenix Suns,Milwaukee Bucks,11
Detroit Pistons,Miami Heat,Miami Heat,3
Dallas Mavericks,Denver Nuggets,Dallas Mavericks,2
Orlando Magic,Toronto Raptors,Orlando Magic,15
Washington Wizards,Boston Celtics,Boston Celtics,26
San Antonio Spurs,Brooklyn Nets,San Antonio Spurs,7
Los Angeles Clippers,Atlanta Hawks,Atlanta Hawks,17
Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers,5
Boston Celtics,Detroit Pistons,Boston Celtics,25
Philadelphia 76ers,Miami Heat,Philadelphia 76ers,7
Chicago Bulls,Portland Trail Blazers,Chicago Bulls,3
Utah Jazz,Minnesota Timberwolves,Minnesota Timberwolves,10
Golden State Warriors,New York Knicks,New York Knicks,7
Sacramento Kings,Memphis Grizzlies,Sacramento Kings,10
Los Angeles Lakers,Atlanta Hawks,Los Angeles Lakers,31
Orlando Magic,Charlotte Hornets,Orlando Magic,20
Washington Wizards,Houston Rockets,Houston Rockets,23
Brooklyn Nets,New Orleans Pelicans,New Orleans Pelicans,13
San Antonio Spurs,Dallas Mavericks,Dallas Mavericks,6
Minnesota Timberwolves,Denver Nuggets,Denver Nuggets,3
Cleveland Cavaliers,Miami Heat,Miami Heat,3
Detroit Pistons,Indiana Pacers,Indiana Pacers,19
Boston Celtics,Milwaukee Bucks,Boston Celtics,3
Toronto Raptors,Sacramento Kings,Sacramento Kings,34
Oklahoma City Thunder,Utah Jazz,Oklahoma City Thunder,12
Golden State Warriors,Memphis Grizzlies,Golden State Warriors,21
Phoenix Suns,Philadelphia 76ers,Phoenix Suns,13
Portland Trail Blazers,Los Angeles Clippers,Los Angeles Clippers,13
Orlando Magic,New Orleans Pelicans,Orlando Magic,15
Washington Wizards,Sacramento Kings,Washington Wizards,7
Houston Rockets,Chicago Bulls,Houston Rockets,10
Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,7
Dallas Mavericks,Utah Jazz,Dallas Mavericks,16
Denver Nuggets,New York Knicks,Denver Nuggets,13
Phoenix Suns,Atlanta Hawks,Phoenix Suns,13
Detroit Pistons,Boston Celtics,Boston Celtics,27
Toronto Raptors,Oklahoma City Thunder,Oklahoma City Thunder,20
Miami Heat,New Orleans Pelicans,New Orleans Pelicans,23
Minnesota Timberwolves,Cleveland Cavaliers,Minnesota Timberwolves,13
San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,2
Golden State Warriors,Indiana Pacers,Indiana Pacers,12
Portland Trail Blazers,Los Angeles Clippers,Los Angeles Clippers,8
Los Angeles Lakers,Philadelphia 76ers,Los Angeles Lakers,7
New York Knicks,Brooklyn Nets,New York Knicks,12
Orlando Magic,Sacramento Kings,Sacramento Kings,2
Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,41
Chicago Bulls,Boston Celtics,Boston Celtics,11
Houston Rockets,Utah Jazz,Houston Rockets,28
San Antonio Spurs,Phoenix Suns,Phoenix Suns,25
Washington Wizards,Toronto Raptors,Washington Wizards,3
Portland Trail Blazers,Denver Nuggets,Denver Nuggets,3
Detroit Pistons,New Orleans Pelicans,New Orleans Pelicans,13
Los Angeles Clippers,Philadelphia 76ers,Philadelphia 76ers,14
Miami Heat,Cleveland Cavaliers,Miami Heat,37
Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,25
Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,4
Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,5
Cleveland Cavaliers,Charlotte Hornets,Cleveland Cavaliers,23
Atlanta Hawks,Boston Celtics,Atlanta Hawks,2
New York Knicks,Detroit Pistons,New York Knicks,25
Toronto Raptors,Brooklyn Nets,Brooklyn Nets,8
Chicago Bulls,Washington Wizards,Washington Wizards,2
Houston Rockets,Portland Trail Blazers,Houston Rockets,18
San Antonio Spurs,Phoenix Suns,San Antonio Spurs,2
Denver Nuggets,Memphis Grizzlies,Denver Nuggets,25
Utah Jazz,Dallas Mavericks,Dallas Mavericks,10
Sacramento Kings,Philadelphia 76ers,Sacramento Kings,12
Los Angeles Clippers,Indiana Pacers,Indiana Pacers,17
Miami Heat,Golden State Warriors,Golden State Warriors,21
Milwaukee Bucks,Los Angeles Lakers,Los Angeles Lakers,4
New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,7
Sacramento Kings,Dallas Mavericks,Dallas Mavericks,36
Charlotte Hornets,Cleveland Cavaliers,Charlotte Hornets,7
Orlando Magic,Golden State Warriors,Golden State Warriors,8
Washington Wizards,Brooklyn Nets,Brooklyn Nets,3
Atlanta Hawks,Portland Trail Blazers,Atlanta Hawks,14
Philadelphia 76ers,Los Angeles Clippers,Los Angeles Clippers,1
Toronto Raptors,New York Knicks,New York Knicks,44
Chicago Bulls,Indiana Pacers,Chicago Bulls,26
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,12
Minnesota Timberwolves,Detroit Pistons,Minnesota Timberwolves,15
Oklahoma City Thunder,Houston Rockets,Houston Rockets,6
Utah Jazz,San Antonio Spurs,San Antonio Spurs,7
Denver Nuggets,Phoenix Suns,Phoenix Suns,7
Atlanta Hawks,Boston Celtics,Atlanta Hawks,1
New Orleans Pelicans,Milwaukee Bucks,New Orleans Pelicans,7
Charlotte Hornets,Golden State Warriors,Golden State Warriors,18
Indiana Pacers,Los Angeles Lakers,Indiana Pacers,19
Orlando Magic,Los Angeles Clippers,Los Angeles Clippers,3
Washington Wizards,Detroit Pistons,Detroit Pistons,9
Brooklyn Nets,Chicago Bulls,Brooklyn Nets,17
Cleveland Cavaliers,Philadelphia 76ers,Cleveland Cavaliers,3
Miami Heat,Portland Trail Blazers,Miami Heat,60
Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,25
San Antonio Spurs,New York Knicks,San Antonio Spurs,4
Denver Nuggets,Minnesota Timberwolves,Minnesota Timberwolves,13
Utah Jazz,Houston Rockets,Houston Rockets,1
Sacramento Kings,Dallas Mavericks,Dallas Mavericks,4
New Orleans Pelicans,Boston Celtics,Boston Celtics,12
Orlando Magic,Memphis Grizzlies,Orlando Magic,30
Atlanta Hawks,Milwaukee Bucks,Milwaukee Bucks,9
Denver Nuggets,Cleveland Cavaliers,Denver Nuggets,29
Brooklyn Nets,Los Angeles Lakers,Los Angeles Lakers,12
Charlotte Hornets,Los Angeles Clippers,Los Angeles Clippers,12
Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,15
Washington Wizards,Miami Heat,Miami Heat,12
Houston Rockets,Dallas Mavericks,Dallas Mavericks,18
Minnesota Timberwolves,Chicago Bulls,Chicago Bulls,8
New York Knicks,Oklahoma City Thunder,Oklahoma City Thunder,1
San Antonio Spurs,Golden State Warriors,Golden State Warriors,4
Sacramento Kings,Utah Jazz,Sacramento Kings,21
Charlotte Hornets,Boston Celtics,Boston Celtics,14
Detroit Pistons,Memphis Grizzlies,Memphis Grizzlies,2
Indiana Pacers,Brooklyn Nets,Indiana Pacers,22
Orlando Magic,Portland Trail Blazers,Orlando Magic,1
Chicago Bulls,Atlanta Hawks,Atlanta Hawks,12
New Orleans Pelicans,Phoenix Suns,Phoenix Suns,13
Toronto Raptors,Los Angeles Lakers,Los Angeles Lakers,17
Washington Wizards,Milwaukee Bucks,Washington Wizards,4
Miami Heat,New York Knicks,Miami Heat,10
Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,4
Minnesota Timberwolves,Houston Rockets,Minnesota Timberwolves,7
Denver Nuggets,San Antonio Spurs,Denver Nuggets,5
Utah Jazz,Cleveland Cavaliers,Cleveland Cavaliers,16
Golden State Warriors,Dallas Mavericks,Golden State Warriors,4
Sacramento Kings,Los Angeles Clippers,Sacramento Kings,14
Charlotte Hornets,Portland Trail Blazers,Portland Trail Blazers,3
Washington Wizards,Los Angeles Lakers,Los Angeles Lakers,5
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,8
Boston Celtics,Oklahoma City Thunder,Boston Celtics,35
Brooklyn Nets,Indiana Pacers,Brooklyn Nets,4
Milwaukee Bucks,Memphis Grizzlies,Memphis Grizzlies,10
Minnesota Timberwolves,Toronto Raptors,Minnesota Timberwolves,48
New Orleans Pelicans,Orlando Magic,Orlando Magic,9
Phoenix Suns,Cleveland Cavaliers,Phoenix Suns,21
Dallas Mavericks,Atlanta Hawks,Dallas Mavericks,14
Miami Heat,Philadelphia 76ers,Philadelphia 76ers,4
New York Knicks,Sacramento Kings,New York Knicks,11
Houston Rockets,Golden State Warriors,Golden State Warriors,23
Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,2
Charlotte Hornets,Orlando Magic,Charlotte Hornets,9
Indiana Pacers,Oklahoma City Thunder,Indiana Pacers,14
Washington Wizards,Portland Trail Blazers,Portland Trail Blazers,6
Boston Celtics,Sacramento Kings,Boston Celtics,1
Chicago Bulls,New York Knicks,Chicago Bulls,8
Houston Rockets,Miami Heat,Miami Heat,15
Memphis Grizzlies,Detroit Pistons,Memphis Grizzlies,18
Milwaukee Bucks,Toronto Raptors,Toronto Raptors,6
New Orleans Pelicans,San Antonio Spurs,San Antonio Spurs,2
Dallas Mavericks,Golden State Warriors,Dallas Mavericks,2
Phoenix Suns,Minnesota Timberwolves,Phoenix Suns,10
Los Angeles Clippers,Utah Jazz,Los Angeles Clippers,29
Los Angeles Lakers,Cleveland Cavaliers,Los Angeles Lakers,19
Brooklyn Nets,Detroit Pistons,Brooklyn Nets,10
Memphis Grizzlies,Philadelphia 76ers,Philadelphia 76ers,20
Denver Nuggets,Atlanta Hawks,Denver Nuggets,32
Dallas Mavericks,Houston Rockets,Dallas Mavericks,11
Los Angeles Clippers,Cleveland Cavaliers,Los Angeles Clippers,2
Indiana Pacers,Miami Heat,Indiana Pacers,2
Boston Celtics,Portland Trail Blazers,Boston Celtics,17
Charlotte Hornets,Oklahoma City Thunder,Oklahoma City Thunder,3
Orlando Magic,Chicago Bulls,Orlando Magic,15
Phoenix Suns,New Orleans Pelicans,New Orleans Pelicans,8
Toronto Raptors,Washington Wizards,Toronto Raptors,8
Milwaukee Bucks,New York Knicks,New York Knicks,13
San Antonio Spurs,Philadelphia 76ers,Philadelphia 76ers,7
Brooklyn Nets,Sacramento Kings,Sacramento Kings,30
Golden State Warriors,Utah Jazz,Golden State Warriors,8
Los Angeles Lakers,Minnesota Timberwolves,Minnesota Timberwolves,10
Charlotte Hornets,Dallas Mavericks,Dallas Mavericks,26
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,18
Toronto Raptors,Indiana Pacers,Indiana Pacers,17
Atlanta Hawks,Miami Heat,Miami Heat,6
Milwaukee Bucks,Boston Celtics,Milwaukee Bucks,13
Chicago Bulls,New York Knicks,New York Knicks,11
Houston Rockets,Orlando Magic,Houston Rockets,12
Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,15
Minnesota Timberwolves,Washington Wizards,Minnesota Timberwolves,9
Oklahoma City Thunder,Sacramento Kings,Oklahoma City Thunder,7
Utah Jazz,Denver Nuggets,Denver Nuggets,16
Los Angeles Lakers,Golden State Warriors,Golden State Warriors,14
Phoenix Suns,Los Angeles Clippers,Los Angeles Clippers,13
Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans,10
Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,12
Atlanta Hawks,Charlotte Hornets,Charlotte Hornets,1
Brooklyn Nets,Toronto Raptors,Brooklyn Nets,4
Miami Heat,Dallas Mavericks,Dallas Mavericks,19
Milwaukee Bucks,Orlando Magic,Milwaukee Bucks,18
Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,38
Denver Nuggets,Minnesota Timberwolves,Denver Nuggets,9
Los Angeles Clippers,Phoenix Suns,Phoenix Suns,16
Detroit Pistons,Chicago Bulls,Chicago Bulls,22
Boston Celtics,New York Knicks,New York Knicks,9
Utah Jazz,Houston Rockets,Utah Jazz,3
Portland Trail Blazers,Golden State Warriors,Golden State Warriors,8
Sacramento Kings,New Orleans Pelicans,New Orleans Pelicans,12
Philadelphia 76ers,Orlando Magic,Philadelphia 76ers,12
Washington Wizards,Chicago Bulls,Chicago Bulls,2
Boston Celtics,Charlotte Hornets,Boston Celtics,33
Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers,9
New York Knicks,Brooklyn Nets,New York Knicks,4
Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,3
Miami Heat,Toronto Raptors,Miami Heat,22
Minnesota Timberwolves,Atlanta Hawks,Minnesota Timberwolves,3
Oklahoma City Thunder,Milwaukee Bucks,Oklahoma City Thunder,18
San Antonio Spurs,Denver Nuggets,San Antonio Spurs,1
Dallas Mavericks,Detroit Pistons,Detroit Pistons,18
Golden State Warriors,New Orleans Pelicans,New Orleans Pelicans,5
Portland Trail Blazers,Houston Rockets,Houston Rockets,9
Los Angeles Clippers,Utah Jazz,Utah Jazz,1
Sacramento Kings,Phoenix Suns,Phoenix Suns,1
Boston Celtics,Washington Wizards,Boston Celtics,10
Cleveland Cavaliers,Charlotte Hornets,Charlotte Hornets,10
Indiana Pacers,Atlanta Hawks,Indiana Pacers,42
Miami Heat,Toronto Raptors,Miami Heat,15
New York Knicks,Chicago Bulls,New York Knicks,1
Orlando Magic,Milwaukee Bucks,Orlando Magic,25
Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers,21
Golden State Warriors,Utah Jazz,Golden State Warriors,7
Los Angeles Clippers,Houston Rockets,Houston Rockets,11
Memphis Grizzlies,Denver Nuggets,Denver Nuggets,15
Minnesota Timberwolves,Phoenix Suns,Phoenix Suns,19
New Orleans Pelicans,Los Angeles Lakers,Los Angeles Lakers,16
Oklahoma City Thunder,Dallas Mavericks,Oklahoma City Thunder,49
Sacramento Kings,Portland Trail Blazers,Sacramento Kings,39
San Antonio Spurs,Detroit Pistons,San Antonio Spurs,28
New Orleans Pelicans,Los Angeles Lakers,Los Angeles Lakers,4
Sacramento Kings,Golden State Warriors,Sacramento Kings,24
Philadelphia 76ers,Miami Heat,Philadelphia 76ers,1
Chicago Bulls,Atlanta Hawks,Chicago Bulls,15
Miami Heat,Chicago Bulls,Miami Heat,21
New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,7
